,City,Country region,Name,Service opened,Last expanded,Stations,Lines,System length,Annual ridership (millions)
0,Algiers,Algeria,Algiers Metro,2011,2018,19,1,18.5,45.3
1,Buenos Aires,Argentina,Buenos Aires Underground,1913,2019,78,7,56.7,74
2,Yerevan,Armenia,Yerevan Metro,1981,1996,10,1,12.1,23.3
3,Sydney,Australia,Sydney Metro,2019,–,13,1,36,19.7
4,Vienna,Austria,Vienna U-Bahn,1978,2017,98,5,83.3,459.8
5,Baku,Azerbaijan,Baku Metro,1967,2022,27,3,40.7,202.5
6,Dhaka,Bangladesh,Dhaka Metro Rail,2022,2023,16,1,20.1,0
7,Minsk,Belarus,Minsk Metro,1984,2020,30,3,40.8,225.9
8,Brussels,Belgium,Brussels Metro,1976,2009,59,4,39.9,129.2
9,Belo Horizonte,Brazil,Belo Horizonte Metro,1986,2002,19,1,28.1,54.4
10,Brasília,Brazil,Federal District Metro,2001,2020,27,2,42.4,39.1
11,Fortaleza,Brazil,Fortaleza Metro,2012,2013,20,2,24.1,8.9
12,Porto Alegre,Brazil,Porto Alegre Metro,1985,2014,22,1,43.8,31.9
13,Recife,Brazil,Recife Metro,1985,2009,28,3,39.5,93.5
14,Rio de Janeiro,Brazil,Rio de Janeiro Metro,1979,2016,41,3,58,118.7
15,Salvador,Brazil,Salvador Metro,2014,2023,20,2,34,62
16,São Paulo,Brazil,São Paulo Metro,1974,2021,89,6,104.4,"1,104.2"
17,Sofia,Bulgaria,Sofia Metro,1998,2021,47,4,52,92.4
18,Montreal,Canada,Montreal Metro,1966,2007,68,4,69.2,245.5
19,Montreal,Canada,Réseau express métropolitain,2023,–,5,1,16.6,0
20,Toronto,Canada,Toronto subway,1954,2017,70,3,70.5,235.7
21,Vancouver,Canada,SkyTrain,1985,2016,53,3,79.6,116.6
22,Santiago,Chile,Santiago Metro,1975,2023,126,7,149,544.4
23,Beijing,China,Beijing Subway,1971,2023,381,27,815.9,"2,292.7"
24,Changchun,China,Changchun Rail Transit,2017,2023,35,2,43,154.4
25,Changsha,China,Changsha Metro,2014,2023,135,6,207.9,385.8
26,Changzhou,China,Changzhou Metro,2019,2021,43,2,54,22.8
27,Chengdu,China,Chengdu Metro,2010,2023,291,13,561.7,"1,800"
28,Chongqing,China,Chongqing Rail Transit,2004,2023,256,11,523.7,839.8
29,Dalian,China,Dalian Metro,2003,2023,100,6,237.7,125.2
30,Dongguan,China,Dongguan Rail Transit,2016,–,15,1,37.7,35.1
31,Foshan,China,Foshan Metro,2010,2022,61,3,112.7,0
32,Fuzhou,China,Fuzhou Metro,2016,2023,90,5,143.5,94.8
33,Guangzhou,China,Guangzhou Metro,1997,2023,265,16,648.8,"2,415.6"
34,Guiyang,China,Guiyang Metro,2017,2023,82,3,118.73,37
35,Hangzhou,China,Hangzhou Metro,2012,2022,254,13,516.2,582.4
36,Harbin,China,Harbin Metro,2013,2023,66,3,83.8,51.3
37,Hefei,China,Hefei Metro,2016,2023,154,5,202,195.1
38,Hohhot,China,Hohhot Metro,2019,2020,43,2,49,21.3
39,Hong Kong,China,Hong Kong Mass Transit Railway,1979,2022,99,10,174.7,"1,616.3"
40,Jinan,China,Jinan Metro,2019,2021,41,3,84.3,8.7
41,Jinhua,China,Jinhua Rail Transit,2022,2023,32,2,118.5,0
42,Kunming,China,Kunming Metro,2012,2022,103,6,164.3,159.3
43,Lanzhou,China,Lanzhou Metro,2019,2023,27,2,35,52.5
44,Luoyang,China,Luoyang Subway,2021,2021,33,2,43.6,0
45,Macau,China,Macau Light Rapid Transit,2019,2023,12,1,12.5,
46,Nanchang,China,Nanchang Metro,2015,2021,94,4,128.3,135.9
47,Nanjing,China,Nanjing Metro,2005,2023,206,13,505.9,801.3
48,Nanning,China,Nanning Metro,2016,2021,93,5,128.2,208.4
49,Nantong,China,Nantong Rail Transit,2022,2023,43,2,60,0
50,Ningbo,China,Ningbo Rail Transit,2014,2022,116,5,185.3,159.9
51,Qingdao,China,Qingdao Metro,2015,2023,150,7,311.5,139.1
52,Shanghai,China,Shanghai Metro,1993,2021,403,19,795.5,"2,834.7"
53,Shaoxing,China,Shaoxing Metro,2021,2023,35,2,57.8,0
54,Shenyang,China,Shenyang Metro,2010,2023,111,5,163.7,316.3
55,Shenzhen,China,Shenzhen Metro,2004,2023,307,16,555.4,"2,178"
56,Shijiazhuang,China,Shijiazhuang Metro,2017,2021,60,3,76.5,71.7
57,Suzhou,China,Suzhou Rail Transit,2012,2023,181,6,249.5,308.6
58,Taiyuan,China,Taiyuan Metro,2020,–,23,1,23.7,0.88
59,Taizhou,China,Taizhou Rail Transit,2022,–,15,1,52.4,0
60,Tianjin,China,Tianjin Metro,1984,2023,192,10,301,338.8
61,Ürümqi,China,Ürümqi Metro,2018,2019,21,1,27.6,19.1
62,Wenzhou,China,Wenzhou Rail Transit,2019,2023,36,2,116.5,7
63,Wuhan,China,Wuhan Metro,2004,2023,262,12,486.3,"1,012.7"
64,Wuxi,China,Wuxi Metro,2014,2021,80,4,114.8,87.2
65,Xiamen,China,Xiamen Metro,2017,2023,70,3,98.4,114
66,Xi'an,China,Xi'an Metro,2011,2023,191,9,311,731
67,Xuzhou,China,Xuzhou Metro,2019,2021,51,3,64.4,20.9
68,Zhengzhou,China,Zhengzhou Metro,2013,2023,187,11,344.2,341
69,Medellín,Colombia,Medellín Metro,1995,2012,27,2,31.3,215.2
70,Prague,Czech Republic,Prague Metro,1974,2015,58,3,65.4,251.4
71,Copenhagen,Denmark,Copenhagen Metro,2002,2020,39,4,38.2,107
72,Santo Domingo,Dominican Republic,Santo Domingo Metro,2009,2018,33,2,31,49.6
73,Quito,Ecuador,Quito Metro,2023,–,15,1,22.6,0
74,Cairo,Egypt,Cairo Metro,1987,2024,80,3,99.7,"1,314"
75,Helsinki,Finland,Helsinki Metro,1982,2022,30,2,43,69.9
76,Lille,France,Lille Metro,1983,2000,60,2,45,109.44
77,Lyon,France,Lyon Metro,1978,2023,42,4,34.4,194.58
78,Marseille,France,Marseille Metro,1977,2019,29,2,22.7,67.28
79,Paris,France,Paris Métro,1900,2022,308,16,226.9,"1,339.3"
80,Rennes,France,Rennes Metro,2002,2022,28,2,22.4,42.02
81,Toulouse,France,Toulouse Metro,1993,2007,37,2,28.2,103.7
82,Tbilisi,Georgia,Tbilisi Metro,1966,2017,23,2,27.3,78.4
83,Berlin,Germany,Berlin U-Bahn,1902,2021,175,9,155.6,492.1
84,Hamburg,Germany,Hamburg U-Bahn,1912,2019,93,4,106,195.8
85,Munich,Germany,Munich U-Bahn,1971,2010,96,8,95,254
86,Nuremberg,Germany,Nuremberg U-Bahn,1972,2020,49,3,38.4,71.8
87,Athens,Greece,Athens Metro,1904,2022,66,3,91.7,259.2
88,Budapest,Hungary,Budapest Metro,1896,2014,48,4,39.2,211.6
89,Ahmedabad,India,Ahmedabad Metro,2019,2022,31,2,37.9,0.4
90,Bangalore,India,Namma Metro,2011,2023,65,2,73.81,174.2
91,Chennai,India,Chennai Metro,2015,2021,42,2,54.1,42
92,New Delhi,India,Delhi Metro,2002,2023,231,10,351.3,"2,032"
93,Gurgaon,India,Rapid Metro Gurgaon,2013,2017,11,1,12.1,18.3
94,Noida,India,Noida Metro,2019,–,21,1,29.7,5
95,Hyderabad,India,Hyderabad Metro,2017,2020,58,3,67,173
96,Jaipur,India,Jaipur Metro,2015,2020,11,1,12,7
97,Kanpur,India,Kanpur Metro,2021,–,9,1,8.73,0
98,Kochi,India,Kochi Metro,2017,2022,24,1,26.8,17
99,Kolkata,India,Kolkata Metro,1984,2022,40,3,47.85,256
100,Lucknow,India,Lucknow Metro,2017,2019,21,1,22.9,22
101,Mumbai,India,Mumbai Metro,2014,2023,40,3,46.5,126
102,Navi Mumbai,India,Navi Mumbai Metro,2023,–,11,1,11.10,0
103,Nagpur,India,Nagpur Metro,2019,2022,36,2,38.2,4
104,Pune,India,Pune Metro,2022,2023,20,2,23.8,0
105,Jakarta,Indonesia,Jakarta Mass Rapid Transit,2019,–,13,1,15.7,19.7
106,Jakarta,Indonesia,Jabodebek LRT,2023,—,18,2,44.5,0
107,Jakarta,Indonesia,Jakarta Light Rapid Transit,2019,—,6,1,5.8,0
108,Palembang,Indonesia,Palembang LRT,2018,-,13,1,23.4,0
109,Isfahan,Iran,Isfahan Urban Railway,2015,2018,20,1,20.2,0
110,Mashhad,Iran,Mashhad Urban Railway,2011,2019,35,2,37.5,50.7
111,Shiraz,Iran,Shiraz Metro,2014,2023,24,2,32.5,18
112,Karaj,Iran,Karaj Metro,2023,2023,3,1,6.5,0
113,Tabriz,Iran,Tabriz Metro,2015,2020,18,1,17.2,0
114,Tehran,Iran,Tehran Metro,1999,2023,162,6,274.1,820
115,Brescia,Italy,Brescia Metro,2013,–,17,1,13.7,18.7
116,Catania,Italy,Catania Metro,1999,2021,10,1,8.8,6.5
117,Genoa,Italy,Genoa Metro,1990,2012,8,1,7.1,15.3
118,Milan,Italy,Milan Metro,1964,2023,113,5,104.1,387.2
119,Naples,Italy,Naples Metro,1993,2021,27,4,30.8,41.1
120,Rome,Italy,Rome Metro,1955,2018,73,3,60,320
121,Turin,Italy,Turin Metro,2006,2021,23,1,15.1,42.5
122,Fukuoka,Japan,Fukuoka City Subway,1981,2023,36,3,31.4,173.3
123,Hiroshima,Japan,Astram Line,1994,2015,22,1,18.4,24
124,Kobe,Japan,Kobe Municipal Subway,1977,2001,28,3,38.1,114.2
125,Kyoto,Japan,Kyoto Municipal Subway,1981,2008,31,2,31.2,146.4
126,Nagoya,Japan,Nagoya Municipal Subway,1957,2011,87,6,93.3,487.4
127,Osaka,Japan,Osaka Metro,1933,2006,100,8,129.9,870.4
128,Sapporo,Japan,Sapporo Municipal Subway,1971,1999,46,3,48,226.9
129,Sendai,Japan,Sendai Subway,1987,2015,29,2,28.7,91.7
130,Tokyo,Japan,Toei Subway,1960,2002,99,4,109,"1,174.9"
131,Tokyo,Japan,Tokyo Metro,1927,2020,142,9,195.1,"2,757.4"
132,Tokyo,Japan,Rinkai Line,1996,2002,8,1,12.2,95
133,Yokohama,Japan,Yokohama Municipal Subway,1972,2008,40,2,53.4,243.2
134,Yokohama,Japan,Minatomirai Line,2004,2008,6,1,4.1,80.6
135,Almaty,Kazakhstan,Almaty Metro,2011,2022,11,1,13.4,17.1
136,Pyongyang,North Korea,Pyongyang Metro,1973,1987,17,2,22.5,36
137,Busan,South Korea,Busan Metro,1985,2017,114,4,115.2,246.3
138,Daegu,South Korea,Daegu Metro,1997,2015,88,3,82.9,168
139,Daejeon,South Korea,Daejeon Metro,2006,2007,22,1,22.6,40
140,Gimhae,South Korea,Busan-Gimhae LRT,2011,2011,21,1,23.9,-
141,Gimpo,South Korea,Gimpo Goldline,2019,2019,10,1,23.67,-
142,Gwangju,South Korea,Gwangju Metro,2004,2008,20,1,20.1,19
143,Incheon,South Korea,Incheon Subway,1999,2020,56,2,59.7,199
144,Seoul,South Korea,Seoul Metropolitan Subway,1974,2022,337,11,357.46,"2,403"
145,Seoul,South Korea,Korail metro lines,1974,-,276,7,606.5,-
146,Seoul,South Korea,Shinbundang Line,2011,2022,16,1,33.4,122.5
147,Seoul,South Korea,AREX,2007,2018,14,1,63.8,-
148,Uijeongbu,South Korea,U Line,2012,2012,16,1,11.3,-
149,Yongin,South Korea,EverLine,2013,2013,15,1,18.143,-
150,Kuala Lumpur,Malaysia,Rapid KL,1996,2023,138,6,204.8,159.3
151,Guadalajara,Mexico,Guadalajara Electric Rail System,1994,2020,28,1,30,114.5
152,Mexico City,Mexico,Mexico City Metro,1969,2012,163,12,200.9,1057.5
153,Monterrey,Mexico,Metrorrey,1991,2021,38,3,40.2,109.9
154,Amsterdam,Netherlands,Amsterdam Metro,1977,2018,39,5,41.2,111.3
155,Rotterdam,Netherlands,Rotterdam Metro,1968,2023,71,5,102.3,99
156,Lagos,Nigeria,Lagos Rail Mass Transit,2023,–,5,1,13,0
157,Oslo,Norway,Oslo Metro,1966,2016,101,5,85,74
158,Lahore,Pakistan,Lahore Metro,2020,–,26,1,27.1,20
159,Panama City,Panama,Panama Metro,2014,2023,32,2,37.8,49.9
160,Lima,Peru,Lima Metro,2011,2023,31,2,39.4,110.4
161,Manila,Philippines,Manila Light Rail Transit System,1984,2021,33,2,37.2,218.2
162,Manila,Philippines,Manila Metro Rail Transit System,1999,2000,13,1,16.9,96.9
163,Warsaw,Poland,Warsaw Metro,1995,2022,39,2,41.2,195.4
164,Lisbon,Portugal,Lisbon Metro,1959,2016,50,4,44.2,184.6
165,Doha,Qatar,Doha Metro,2019,2019,37,3,76,0
166,Bucharest,Romania,Bucharest Metro,1979,2023,64,5,80.1,179.2
167,Kazan,Russia,Kazan Metro,2005,2018,11,1,16.8,30.5
168,Moscow,Russia,Moscow Metro,1935,2023,229,15,514.5,"2,061.8"
169,Nizhny Novgorod,Russia,Nizhny Novgorod Metro,1985,2018,15,2,21.4,29.9
170,Novosibirsk,Russia,Novosibirsk Metro,1986,2010,14,2,15.9,77.3
171,Saint Petersburg,Russia,Saint Petersburg Metro,1955,2019,72,5,124.8,649
172,Samara,Russia,Samara Metro,1987,2015,10,1,11.6,11.2
173,Yekaterinburg,Russia,Yekaterinburg Metro,1991,2012,9,1,12.7,38.9
174,Singapore,Singapore,Singapore Mass Rapid Transit,1987,2022,134,6,230,"1,001.9"
175,Barcelona,Spain,Barcelona Metro,1924,2021,132,12,128.3,371.7
176,Bilbao,Spain,Metro Bilbao,1995,2020,42,3,45.1,80.3
177,Madrid,Spain,Madrid Metro,1919,2019,242,13,293.9,571.7
178,Stockholm,Sweden,Stockholm Metro,1950,1994,100,7,108,462
179,Lausanne,Switzerland,Lausanne Métro,2008,–,14,1,5.9,32.8
180,Kaohsiung,Taiwan,Kaohsiung Rapid Transit,2008,2012,37,2,42.7,65.4
181,New Taipei City,Taiwan,New Taipei Mass Rapid Transit,2020,-,14,1,15.4,0
182,Taipei,Taiwan,Taipei Mass Rapid Transit,1996,2020,119,5,152.9,695.7
183,Taichung,Taiwan,Taichung Mass Rail Transit,2021,–,18,1,16.7,0
184,Taoyuan,Taiwan,Taoyuan Mass Rapid Transit,2017,2023,22,1,53.1,28
185,Bangkok,Thailand,BTS Skytrain,1999,2021,64,3,70.05,266.5
186,Bangkok,Thailand,Metropolitan Rapid Transit,2004,2023,107,4,135.9,167.3
187,Adana,Turkey,Adana Metro,2009,2010,13,1,13.5,14
188,Ankara,Turkey,Ankara Metro,1997,2023,57,3,67.4,67.4
189,Bursa,Turkey,Bursaray,2002,2014,39,2,39,91.3
190,Istanbul,Turkey,Istanbul Metro,1989,2023,128,11,199.26,542
191,İzmir,Turkey,İzmir Metro,2000,2014,17,1,19.8,100
192,Dnipro,Ukraine,Dnipro Metro,1995,–,6,1,7.8,7.5
193,Kharkiv,Ukraine,Kharkiv Metro,1975,2016,30,3,38.7,231.1
194,Kyiv,Ukraine,Kyiv Metro,1960,2013,52,3,67.7,496.1
195,Dubai,United Arab Emirates,Dubai Metro,2009,2021,53,2,89.3,113.6
196,Glasgow,United Kingdom,Glasgow Subway,1896,–,15,1,10.4,11.9
197,Newcastle,United Kingdom,Tyne and Wear Metro,1980,2008,60,2,77.5,29.3
198,London,United Kingdom,London Underground,1863,2021,272,11,402,"1,026"
199,London,United Kingdom,Docklands Light Railway,1987,2011,45,7,34,92.3
200,Atlanta,United States,MARTA,1979,2000,38,4,76.6,28.2
201,Baltimore,United States,Baltimore Metro SubwayLink,1983,1995,14,2,24.9,2
202,Boston,United States,MBTA subway,1901,2014,51,3,63.9,81
203,Chicago,United States,"Chicago ""L""",1892,2017,145,8,165.4,103.5
204,Cleveland,United States,Red Line (RTA Rapid Transit),1955,1968,18,1,31,2.8
205,Honolulu,United States,Skyline,2023,–,9,1,17.4,0
206,Los Angeles,United States,Metro Rail,1993,2000,16,2,28,25.8
207,Miami,United States,Metrorail,1984,2012,23,2,39.3,12
208,New York City,United States,New York City Subway,1904,2017,424,28,399,"1,793.1"
209,New York City,United States,Staten Island Railway,1925,2017,21,1,22.5,3.8
210,New York City,United States,PATH,1908,1937,13,4,22.2,45.5
211,Philadelphia,United States,SEPTA,1907,1973,72,2,59.1,41.2
212,Philadelphia,United States,PATCO Speedline,1936,1980,13,1,22.9,4.9
213,San Francisco(Bay Area),United States,BART,1972,2020,47,6,192,39.6
214,San Juan,United States,Tren Urbano,2004,2005,16,1,17.2,2.5
215,"Washington, D.C.",United States,Washington Metro,1976,2023,98,6,208,93
216,Tashkent,Uzbekistan,Tashkent Metro,1977,2023,48,4,66.5,136.7
217,Caracas,Venezuela,Caracas Metro,1983,2015,49,5,67.2,358
218,Valencia,Venezuela,Valencia Metro,2006,–,13,1,7.7,22.6
219,Hanoi,Vietnam,Hanoi Metro,2021,–,12,1,13.1,10.7
